vc	V(vout)	d(V(Vout))
2.150000000000002e-01	2.500000e+00	0.000000e+00
2.160000000000002e-01	2.500000e+00	0.000000e+00
2.170000000000002e-01	2.500000e+00	0.000000e+00
2.180000000000002e-01	2.500000e+00	0.000000e+00
2.190000000000002e-01	2.500000e+00	0.000000e+00
2.200000000000002e-01	2.500000e+00	0.000000e+00
2.210000000000002e-01	2.500000e+00	0.000000e+00
2.220000000000002e-01	2.500000e+00	0.000000e+00
2.230000000000002e-01	2.500000e+00	0.000000e+00
2.240000000000002e-01	2.500000e+00	0.000000e+00
2.250000000000002e-01	2.500000e+00	0.000000e+00
2.260000000000002e-01	2.500000e+00	0.000000e+00
2.270000000000002e-01	2.500000e+00	0.000000e+00
2.280000000000002e-01	2.500000e+00	0.000000e+00
2.290000000000002e-01	2.500000e+00	0.000000e+00
2.300000000000002e-01	2.500000e+00	0.000000e+00
2.310000000000002e-01	2.500000e+00	0.000000e+00
2.320000000000002e-01	2.500000e+00	0.000000e+00
2.330000000000002e-01	2.500000e+00	0.000000e+00
2.340000000000002e-01	2.500000e+00	0.000000e+00
2.350000000000002e-01	2.500000e+00	0.000000e+00
2.360000000000002e-01	2.500000e+00	0.000000e+00
2.370000000000002e-01	2.500000e+00	0.000000e+00
2.380000000000002e-01	2.500000e+00	0.000000e+00
2.390000000000002e-01	2.500000e+00	0.000000e+00
2.400000000000002e-01	2.500000e+00	0.000000e+00
2.410000000000002e-01	2.500000e+00	0.000000e+00
2.420000000000002e-01	2.500000e+00	0.000000e+00
2.430000000000002e-01	2.500000e+00	0.000000e+00
2.440000000000002e-01	2.500000e+00	0.000000e+00
2.450000000000002e-01	2.500000e+00	0.000000e+00
2.460000000000002e-01	2.500000e+00	0.000000e+00
2.470000000000002e-01	2.500000e+00	0.000000e+00
2.480000000000002e-01	2.500000e+00	0.000000e+00
2.490000000000002e-01	2.500000e+00	0.000000e+00
2.500000000000002e-01	2.500000e+00	0.000000e+00
2.510000000000002e-01	2.500000e+00	0.000000e+00
2.520000000000002e-01	2.500000e+00	0.000000e+00
2.530000000000002e-01	2.500000e+00	0.000000e+00
2.540000000000002e-01	2.500000e+00	0.000000e+00
2.550000000000002e-01	2.500000e+00	0.000000e+00
2.560000000000002e-01	2.500000e+00	0.000000e+00
2.570000000000002e-01	2.500000e+00	0.000000e+00
2.580000000000002e-01	2.500000e+00	0.000000e+00
2.590000000000002e-01	2.500000e+00	0.000000e+00
